Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/07/2024,10/08/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-14.07,
10/06/2024,10/07/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-3.29,
10/05/2024,10/07/2024,RED APPLE FARM,Shopping,Sale,-12.28,
10/05/2024,10/07/2024,RED APPLE FARM,Shopping,Sale,-5.00,
10/05/2024,10/07/2024,RED APPLE FARM CIDERY,Shopping,Sale,-9.63,
10/06/2024,10/07/2024,RED ROBIN NO 515,Food & Drink,Sale,-58.58,
10/06/2024,10/07/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-15.98,
10/05/2024,10/07/2024,RED APPLE FARM,Shopping,Sale,-28.00,
10/05/2024,10/07/2024,RED APPLE FARM,Shopping,Sale,-8.50,
10/04/2024,10/06/2024,SQ *AL'S CAFE TECH SQ,Food & Drink,Sale,-15.52,
10/03/2024,10/06/2024,TST*SUNRISE2,Food & Drink,Sale,-20.18,
10/03/2024,10/06/2024,TST*BAGEL MARKET - 40TH,Groceries,Sale,-12.79,
10/04/2024,10/06/2024,DICE.FM,Entertainment,Sale,-33.99,
10/03/2024,10/06/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
10/04/2024,10/06/2024,BSPT-CAM,Health & Wellness,Sale,-193.14,
10/05/2024,10/06/2024,CHIPOTLE 1615,Food & Drink,Sale,-10.81,
10/04/2024,10/06/2024,CVS/PHARMACY #11242,Health & Wellness,Sale,-23.90,
10/03/2024,10/04/2024,Store,Food & Drink,Sale,-14.96,
10/02/2024,10/04/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
10/04/2024,10/04/2024,AIRBNB * HMNMABHXH9,Travel,Sale,-279.87,
10/02/2024,10/04/2024,UNITED      0162425248734,Travel,Sale,-458.97,
10/02/2024,10/04/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
10/02/2024,10/04/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
10/02/2024,10/04/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
10/02/2024,10/04/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
10/02/2024,10/03/2024,Subway 27611,Food & Drink,Sale,-17.01,
10/03/2024,10/03/2024,VALLEY,Shopping,Sale,-65.00,
10/02/2024,10/03/2024,MLB.TV,Bills & Utilities,Sale,-29.99,
